elementId,cellType,x,y,signalStrength
0,墙,0,2,
1,墙,1,2,
2,墙,2,2,
3,墙,2,1,
4,墙,2,0,
5,墙,8,0,
6,墙,9,0,
7,墙,9,1,
8,墙,4,6,
9,墙,4,7,
10,墙,4,8,
11,墙,3,8,
12,墙,2,8,
13,墙,6,8,
14,墙,7,8,
15,墙,8,8,
16,墙,8,7,
17,墙,8,6,
18,电源,0,5,2.0
19,电源,8,1,8.0
20,灯,6,1,1.0
21,灯,0,5,1.0
22,放大器,2,6,2.0
23,放大器,6,6,5.0
24,放大器,0,3,8.0
25,不可放置区,4,2,
26,不可放置区,5,2,
27,不可放置区,6,2,
28,不可放置区,7,2,
29,不可放置区,4,3,
30,不可放置区,5,3,
31,不可放置区,6,3,
32,不可放置区,7,3,
33,不可放置区,1,4,
34,不可放置区,2,4,
35,不可放置区,3,4,
36,不可放置区,4,4,
37,不可放置区,5,4,
38,不可放置区,6,4,
39,不可放置区,7,4,
